title,num_tokens,mean_log_prob,median_log_prob,std_log_prob,min_log_prob,max_log_prob,perplexity,loss
April 1917,401,-3.6634346838372154,-2.8486127853393555,3.2649012342371457,-13.104521751403809,-8.34461570775602e-06,38.99504878491065,3.6634347438812256
Judith Lodge,370,-3.241097015318637,-2.30727756023407,3.06297002077374,-17.730016708374023,-0.0019733496010303497,25.561748001054333,3.2410974502563477
Alghero–Fertilia Airport,472,-2.755907971979838,-2.07683002948761,2.5866848480633826,-13.533398628234863,-0.0005017452058382332,15.735321649715152,2.7559077739715576
Resident Evil Outbreak,356,-2.9984453909472997,-2.1343915462493896,2.7207203149163823,-14.780384063720703,-7.128461584215984e-05,20.054336024542163,2.9984450340270996
Naturphilosophie,416,-3.0311364152108022,-2.4268381595611572,2.8478345761201966,-15.589293479919434,-0.0003240775258745998,20.720766609001796,3.0311357975006104
Jesús Quijano,313,-2.620649692713408,-1.5635404586791992,2.7547633005302825,-14.940753936767578,-6.437094270950183e-05,13.744650484161179,2.620649814605713
U.S. National Water Ski Championships,130,-2.8746574493816857,-1.7387775778770447,3.0218072187586897,-13.634325981140137,-0.00029559535323642194,17.719353306309056,2.8746566772460938
RS Basingstoke F.C.,369,-3.292022647767714,-2.406782627105713,3.024031494668893,-15.237163543701172,-0.0009344025747850537,26.897212259663444,3.292022705078125
Tramteatret,292,-4.653877489981625,-4.135183334350586,3.3895799337134416,-15.144256591796875,-0.005113380495458841,104.99130004197563,4.653877258300781
List of Jewish leaders in the Land of Israel,432,-3.211451866327951,-2.168475031852722,3.175607995813844,-14.57309341430664,-0.0005718026659451425,24.8150882742723,3.211451768875122
Glyptozaria opulenta,89,-3.8596119359004826,-3.328371047973633,3.5434939543180697,-16.183923721313477,-0.0031874587293714285,47.44693534354654,3.859612226486206
Ruth Abrahams,186,-3.3725965769262984,-2.518379330635071,3.0067057050387023,-15.537077903747559,-0.002460311632603407,29.154129801899074,3.3725967407226562
"Burg, Bruges",403,-3.2676692937498464,-2.4005379676818848,3.03324101765068,-14.621923446655273,-0.0028518266044557095,26.250086748838946,3.2676689624786377
Avaritia (instrumental),406,-3.1215529924168197,-2.12681782245636,3.005275895736753,-16.997722625732422,-3.194758028257638e-05,22.681576622276523,3.1215529441833496
Blahovishchenske Raion,222,-2.879732627057623,-2.032667815685272,2.9360374732091814,-14.186393737792969,-0.0002369599969824776,17.809510761675075,2.879732608795166
Maggie's Dream,250,-3.711040505776851,-2.8278647661209106,3.1629734785567662,-12.708959579467773,-0.00010632903286023065,40.896337271593524,3.711040496826172
Long Live Ghosts!,131,-4.427133230668318,-4.345417022705078,3.4617305418883535,-14.556015014648438,-0.00010477947944309562,83.69114945853732,4.427134037017822
Plava Laguna,142,-3.5873977697463,-2.653986692428589,3.323554297490507,-13.258807182312012,-0.0002967870968859643,36.13990909291569,3.587398052215576
Masarguppi,20,-4.528581852052594,-2.684020757675171,4.085431044534276,-13.95862865447998,-0.0018552012043073773,92.62710895042491,4.5285820960998535
David Lachenbruch,173,-3.023439092543518,-2.1006436347961426,3.106130587355811,-14.647051811218262,-0.00014780859055463225,20.561884450582212,3.0234384536743164
